"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\builders\client\mod.rs", "Rust", 5, 0, 1, 6
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\builders\embed\mod.rs", "Rust", 0, 0, 1, 1
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\builders\mod.rs", "Rust", 8, 0, 1, 9
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\builders\slash_command\mod.rs", "Rust", 297, 58, 60, 415
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\lib.rs", "Rust", 33, 0, 2, 35
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\managers\cache\mod.rs", "Rust", 67, 1, 18, 86
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\managers\channel\mod.rs", "Rust", 44, 6, 12, 62
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\managers\channel\types.rs", "Rust", 18, 0, 4, 22
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\managers\client\mod.rs", "Rust", 24, 5, 5, 34
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\managers\guild\mod.rs", "Rust", 43, 1, 11, 55
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\managers\guild\types.rs", "Rust", 18, 1, 4, 23
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\managers\mod.rs", "Rust", 11, 0, 1, 12
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\application\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\application\types.rs", "Rust", 50, 1, 7, 58
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\application_command\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\application_command\types.rs", "Rust", 87, 0, 8, 95
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\attachment\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\attachment\types.rs", "Rust", 16, 0, 1, 17
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\channel\deserializers.rs", "Rust", 34, 0, 5, 39
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\channel\enums.rs", "Rust", 21, 0, 2, 23
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\channel\impls.rs", "Rust", 47, 3, 14, 64
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\channel\mod.rs", "Rust", 7, 1, 3, 11
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\channel\types.rs", "Rust", 58, 35, 8, 101
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\client\enums.rs", "Rust", 112, 12, 6, 130
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\client\mod.rs", "Rust", 185, 59, 44, 288
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\client\structs.rs", "Rust", 134, 3, 9, 146
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\embed\mod.rs", "Rust", 228, 156, 39, 423
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\embed\types.rs", "Rust", 72, 0, 9, 81
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\emoji\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\emoji\types.rs", "Rust", 14, 0, 2, 16
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\guild\deserializers.rs", "Rust", 209, 16, 16, 241
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\guild\enums.rs", "Rust", 96, 0, 11, 107
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\guild\mod.rs", "Rust", 8, 16, 6, 30
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\guild\types.rs", "Rust", 160, 2, 8, 170
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\locale\mod.rs", "Rust", 133, 0, 6, 139
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\member\enums.rs", "Rust", 6, 0, 0, 6
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\member\mod.rs", "Rust", 4, 0, 1, 5
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\member\types.rs", "Rust", 17, 3, 2, 22
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\message\enums.rs", "Rust", 42, 0, 2, 44
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\message\mod.rs", "Rust", 35, 43, 15, 93
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\message\types.rs", "Rust", 101, 46, 14, 161
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\message_payload\mod.rs", "Rust", 29, 0, 6, 35
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\message_payload\types.rs", "Rust", 38, 9, 5, 52
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\nonce\mod.rs", "Rust", 26, 0, 3, 29
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\permissions\enums.rs", "Rust", 49, 1, 1, 51
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\permissions\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\presence\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\presence\types.rs", "Rust", 124, 2, 14, 140
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\reaction\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\reaction\types.rs", "Rust", 8, 0, 2, 10
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\role\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\role\types.rs", "Rust", 24, 0, 2, 26
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\snowflake\mod.rs", "Rust", 96, 8, 17, 121
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\sticker\mod.rs", "Rust", 2, 0, 0, 2
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\sticker\types.rs", "Rust", 30, 1, 4, 35
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\timestamp\mod.rs", "Rust", 72, 6, 8, 86
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\user\mod.rs", "Rust", 16, 0, 4, 20
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\user\types.rs", "Rust", 107, 0, 8, 115
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\webhook\errors.rs", "Rust", 34, 2, 7, 43
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\webhook\mod.rs", "Rust", 177, 64, 40, 281
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\structs\webhook\types.rs", "Rust", 14, 0, 2, 16
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\test.rs", "Rust", 90, 14, 17, 121
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\util\env\mod.rs", "Rust", 19, 0, 5, 24
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\util\rest\mod.rs", "Rust", 51, 7, 13, 71
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\util\socket\mod.rs", "Rust", 33, 3, 8, 44
"c:\Users\crazy\Desktop\Programming\Rust\discord-rs\src\util\threadpool\mod.rs", "Rust", 72, 0, 13, 85
"Total", "-", 3571, 585, 537, 4693